場所,評価,レビュー数
ラゾーナ川崎プラザ,4.00,19779
ガンダムベース東京,4.50,11938
読売ランド,4.20,11767
川崎大師,4.30,10096
コストコホールセール川崎ウェアハウス,4.00,8933
グランツリー武蔵小杉,3.90,7501
藤子・F・不二雄ミュージアム,4.40,6998
すしざんまい本店,4.20,6300
川崎アザレア,3.70,6024
川崎ダイス,3.60,5590
ロボットレストラン,4.10,5433
アトレ川崎,3.70,5397
ラチッタデッラ,3.90,5253
ホッピー通り,3.90,4643
MUZA川崎,3.80,4632
ハチ公前広場,3.80,4558
川崎モアーズ,3.60,4387
KAWASAKI Le FRONT,3.80,4172
等々力渓谷公園,4.20,3912
シマチューホームズ,3.70,3510
千鳥ヶ淵緑道,4.50,3418
等々力緑地,4.00,3318
丸井ファミリー溝の口,3.70,3277
生田緑地（生田グリーンスペース）,4.30,3104
新宿アイランド,3.60,2926
新百合ヶ丘L-MYLORD,3.70,2785
阿夫利,4.10,2526
みちのく国立公園,4.30,2489
縄文自然温泉 - 白楽の湯,4.10,2290
カルッツ川崎,3.90,2262
夢見ヶ崎動物公園,4.20,2223
宮ケ瀬ダム,4.30,2204
ララテラス武蔵小杉,3.70,2198
スシロー,3.50,2182
武蔵小杉東急スクエア,3.70,2124
MARKET SQUARE KAWASAKI EAST,3.60,2084
なきりゅう,4.30,2055
東扇島東公園,3.90,2008
松陰神社,4.20,1996
CROSS GARDEN KAWASAKI,3.50,1973
かっぱ寿司川崎一の坪店,3.60,1920
伊藤洋華堂川崎港町,3.50,1889
OPA新百合ヶ丘,3.70,1888
大師公園,4.00,1854
アミューズメントパーク ウェアハウス川崎店,4.30,1832
銀座篝本店,4.30,1821
川水川崎水族館,3.80,1796
川崎日航ホテル,3.80,1773
きずな寿司,3.60,1749
KEIKYU EX INN HANEDA,4.10,1681
マクドナルド川崎駅東口店,3.50,1680
コーナン川崎小田作江モール,3.80,1676
東芝科学館,4.20,1675
タコベル,3.90,1656
一蘭,4.40,1631
穴守稲荷神社,4.20,1517
玉井日本橋本店,4.40,1302
川崎駅,3.80,1244
阿夫利中目黒,4.10,1241
ラーメン二郎京急川崎店,3.90,1237
キャットストリート,4.20,1235
かっぱ寿司アトレ川崎店,3.40,1207
新川崎スクエア,3.60,1180
日本民家園,4.40,1144
カツミドリ武蔵小杉,3.90,1142
フルエルさぎ沼,3.60,1136
豆腐屋うかいさぎ沼,4.40,1103
FIRST CABIN羽田ターミナル1,3.80,1100
岡本太郎美術館,4.40,1083
東横イン羽田空港2,3.80,1075
楠木正成像,4.20,1075
マクドナルド,3.30,1067
川崎キングスカイフロント東急REIホテル,4.20,1055
シズラー桜新町,4.20,1053
ウィングキッチン京急川崎,3.60,1050
ゴジラヘッド,4.10,1032
ダイワロイネットホテル川崎,3.90,981
イトーヨーカドーグランツリー武蔵小杉,3.90,958
稲毛神社（自転車の神社）,4.00,958
二子玉川エクセルホテル東急,4.00,943
すしざんまい,3.60,939
かつや川崎登戸店,3.50,920
スシロー,3.60,920
北方ラーメンばんない川崎店,3.80,919
川崎市立科学館,4.30,917
フーターズ新宿,3.90,902
変なホテル東京羽田,4.00,887
イタリア料理 モナリザン,4.10,887
宮前ショッピングセンター,3.40,883
ラーメンまる仙,3.90,881
コメダ珈琲店,3.90,870
吉野家川崎駅前店,3.50,869
スシロー,3.60,853
ラーメンだんぼ,3.80,844
やよい軒武蔵小杉店,3.50,844
末広館川崎店,3.90,840
はま寿司,3.50,838
三田製麺所川崎店,3.40,828
相鉄フレッサイン,3.70,825
川崎ビッグ,3.70,824
品川東急ホテル,3.80,811
ドーミーイン川崎,4.40,793
大衆酒場 丸大ホール本店,4.10,792
一風堂 恵比寿店,4.10,781
一軒目酒場,3.50,780
バーガーキング川崎ダイス店,3.80,775
パンダエクスプレスラゾーナ川崎,3.60,771
かつや,3.30,755
マクドナルドMUZA川崎店,3.50,755
カプセルイン蒲田,3.70,751
ココスレストラン,3.50,746
ハンズアトレ川崎店,3.70,740
JR-EAST HOTEL METS KAWASAKI,4.10,738
元気寿司,3.70,733
ビバホーム川崎宮前,3.60,733
餃子の王将 道玄坂店,3.40,729
PIZZA SALVATORE CUOMO & GRILL 川崎,3.90,720
秋葉原電気街,4.50,720
溝之口神社,4.10,715
ガスト 川崎駅前本町店,3.50,715
丸井せいめん川崎宮前店,3.50,714
こんどうや川崎店,3.80,711
ラーメンハウス,4.00,706
旧朝倉邸,4.30,706
怪獣酒場,4.20,706
オイスタープレート ラゾーナ川崎プラザ,3.80,704
中華食堂一番館 川崎店,3.10,703
ガスト 京急川崎駅前店,3.40,692
吉野家,3.30,690
からやまチキン,3.60,689
大善寺ふるさと公園,4.10,686
HUB川崎,3.80,685
千鳥町公園,3.40,682
スーパーホテルプレミア武蔵小杉駅前,4.20,680
ざらく 渋谷,3.90,676
ホテルマンデー羽田空港,4.50,674
ステーキガスト 川崎菅生店,3.60,673
MENS HO YOSUKE TORINITEI,4.00,645
インド料理 シャグン(SHAGHUN) 溝の口店,4.30,637
HUB川崎,3.80,685
千鳥町公園,3.40,682
スーパーホテルプレミア武蔵小杉駅前,4.20,680
ざらく 渋谷,3.90,676
ホテルマンデー羽田空港,4.50,674
ステーキガスト 川崎菅生店,3.60,673
蟹道楽,4.10,671
青葉,3.70,670
コナズコーヒー新百合ヶ丘,4.20,667
はんの大食堂 YOSUKE TORINITEI,4.10,666
スターバックスコーヒー ラゾーナ川崎3F,3.70,666
