場所,評価,レビュー数
横浜中華街,4.0,38725
横浜赤レンガ倉庫,4.1,33472
横浜ランドマークタワー,4.2,25073
山下公園,4.3,20791
横浜高島屋,3.9,19018
アメ横,4.1,18730
横浜八景島シーパラダイス,4.2,15320
横浜ワールドポーターズ,3.9,14243
カップヌードルミュージアム横浜 (安藤百福発明記念館),4.2,14151
マークイズみなとみらい,3.9,13044
ららぽーと横浜,3.9,12266
クイーンズスクエア横浜,3.9,11990
新横浜ラーメン博物館,4.0,11891
ジョイナス,3.7,10087
横浜公園,4.2,9633
横浜スタジアム,4.3,9315
横浜コスモワールド,4.1,8609
恵比寿ガーデンプレイスタワー,4.0,8087
横浜ベイクォーター,3.9,7922
TRESSA YOKOHAMA,3.9,7870
ズーラシア,4.3,7870
ランドマークプラザ,4.0,7264
横浜アンパンマンこどもミュージアム,4.0,7181
ガンダムファクトリーヨコハマ,4.5,7114
ヨドバシカメラ マルチメディア横浜,4.0,6703
日産スタジアム,4.1,6626
三井アウトレットパーク横浜ベイサイド,3.8,6511
コレット・マーレ,3.7,6219
三渓園,4.3,6218
日産グローバル本社ギャラリー,4.3,6100
野毛山動物園,4.3,6035
横浜ポルタ,3.7,6015
パシフィコ横浜,3.9,5978
スカイビル,3.7,5790
吉村家,4.1,5526
横浜ベイシェラトンホテル＆タワーズ,4.1,5417
キュービックプラザ,3.7,5222
ノースポートモール,3.8,5130
恵比寿ガーデンプレイス,4.0,5095
横浜ロイヤルパークホテル,4.4,5071
こどもの国,4.3,4861
インターコンチネンタル横浜グランド,4.3,4819
モアーズ横浜,3.6,4701
横浜ビブレ,3.7,4688
横浜ベイホテル東急,4.4,4572
APAホテル＆リゾート横浜ベイタワー,4.2,4564
新横浜プリンスホテル,4.0,4253
たまプラーザテラス,3.9,4167
東急スクエア,3.8,4129
横浜ハンマーヘッド,4.0,4066
ホテルニューグランド,4.4,3997
RAKU SPA鶴見,4.0,3963
マリンパーク,4.1,3948
マリン＆ウォーク横浜,3.9,3932
港北TOKYU S.C.,3.7,3927
万葉倶楽部,3.9,3818
港の見える丘公園,4.2,3724
新横浜公園,4.1,3524
新横浜プリンスペペ,3.7,3461
モザイクモール港北,3.8,3448
MEGAドン・キホーテみなと山下総本店,3.9,3436
臨港パーク,4.2,3416
象の鼻パーク,4.1,3365
戸塚なモール,3.5,3322
丸井シティ横浜,3.7,3160
APiTA長津田,3.8,3022
横浜橋商店街,3.9,2884
ローズホテル横浜,3.9,2853
根岸森林公園,4.4,2834
BRANCH横浜南部市場,4.0,2819
港南台バード,3.7,2701
横浜マリンタワー,4.0,2630
イオン金沢八景,3.5,2621
桜木町ピオシティ,3.7,2582
三ツ池公園,4.1,2568
横浜駅,3.8,2531
三ツ沢公園,4.0,2482
東戸塚オーロラシティ,3.7,2470
總持寺,4.3,2465
ルミネ横浜,3.8,2464
グランドモールパーク,3.9,2457
八景島,4.3,2434
MEGAドン・キホーテ（新横浜店）,3.6,2376
モディ戸塚,3.6,2351
すしろ新横浜,3.6,2322
最高神館,4.2,2316
横浜桜木町ワシントンホテル,3.9,2243
すしろ東神奈川店,3.7,2216
ハングリータイガー,4.3,2208
青葉台東急スクエア,3.8,2205
スカイガーデン,4.5,2145
日本丸記念公園,4.2,2139
すずきや,4.4,2135
鹿島森公園,4.1,2123
コスモクロック21,4.4,2106
赤レンガ倉庫1号館,4.0,2088
TRESSA YOKOHAMA南棟,3.9,2054
勝烈庵馬車道本店,4.2,2036
ルララ港北,3.6,2009
マクドナルド横浜西口五番街,3.4,1996
アソビル,3.7,1991
子供の自然公園 (大池公園),4.2,1976
金沢動物園,4.2,1968
岸根公園,4.1,1946
満珍楼,4.3,1932
ラーメン二郎 横浜関内店,4.2,1924
CIAL鶴見,3.6,1919
センターグリル,4.1,1908
浜銀宇宙科学センター,4.2,1888
角平つけ麺そば,4.2,1885
mioka,3.6,1830
回し寿司KATSU,4.0,1819
